QStandardPaths: XDG_RUNTIME_DIR not set, defaulting to '/tmp/runtime-root'
Time;S1,P1;S2,P2;S1,P2;
1667512746919610454;0.0007783517321028649;0.0005198255696421867;0.000260327216848956;
1667512747475837921;0.0007746211170323404;0.0005155211238360499;0.0002577407235712841;
1667512748024720342;0.000788328360660225;0.0005259140495747035;0.00026273536709969347;
1667512748605097100;0.0007443296553340179;0.0004962898884381689;0.00024811287757524797;
1667512749166445756;0.0007691718760849864;0.0005124400151596838;0.00025608194622279127;
1667512749700437997;0.0008072352193736452;0.000538014055617203;0.0002689331757086109;
1667512750229831740;0.0008160258408182925;0.000543715274434621;0.0002717668240649523;
1667512750779615003;0.0007888091355783961;0.000527449342886027;0.00026430262650735094;
1667512751310214478;0.0008133663198563053;0.0005417311696690738;0.0002707525227930379;
1667512751850559430;0.0007974511099707232;0.0005306261572901217;0.00026500011041671266;
1667512752397382268;0.0007917685396635716;0.0005285150379044379;0.00026441619108476743;
1667512752955957724;0.0007748726034105157;0.0005172311610223217;0.00025892015909205333;
1667512753490170506;0.0008052100069710311;0.0005353438468916597;0.0002670271533236536;
1667512754024710445;0.007064077254908578;0.0068060683686845735;0.006534634501743508;
1667512754584962399;0.0007697831599242334;0.0005125448921698089;0.0002563504595616051;
1667512755142990602;0.6792602844606732;0.37041165934613124;0.3657547729754974;
1667512755713230869;12.476178223455204;12.225332491674104;12.472442344108353;
1667512756274866653;15.924387374389713;15.787471598500078;16.289585382889516;
1667512757437333239;15.465828728693937;13.063099902893198;14.670493714748671;
1667512757865869435;8.972094204739268;11.76605782964142;10.665882013302095;
1667512758380608933;0.008194813766371507;0.00782183104694229;0.015288838702008796;
1667512758909794406;0.0008100961989236222;0.0005400286890241044;0.00026596530630337774;
1667512759459578443;3.8629216224909695;3.5823479910960017;3.576208220057358;
1667512760034688689;25.863339738084065;25.342912493655593;26.450916582074402;
1667512760559438429;23.59643463091739;24.58387721465226;23.52006774109919;
1667512761049969154;14.718696614737288;15.110012398147992;15.11877601935765;
1667512761581956319;0.0008120209170573264;0.0005413320150896299;0.0002706782181102525;
1667512762114321608;0.00707987215644864;0.006810481074793139;0.006544724162444567;
1667512762653743237;0.0008005945155569228;0.0005336297943301834;0.0002666780251751464;
1667512763216193337;6.977893377524629;6.622448438383022;6.7986848561067905;
1667512763784730156;16.070827463889234;16.022088575036243;15.850063325359029;
1667512764366196783;15.46514946357856;14.89194964122682;15.530934220935265;
1667512764882911192;16.523716577439934;16.38864369297953;16.157191207263917;
1667512765887273836;0.0008272153862061834;0.0015628261872978238;0.0032024433456637287;
1667512766440505862;0.0068391457602015445;0.006577407042399229;0.006303788250680646;
1667512766975882246;0.0008032083712161355;0.0005354314313123276;0.00026787458260861476;
1667512767575728756;8.839796937559846;8.499210736810811;8.569136342925553;
1667512768103551720;27.201220496119937;27.010197175303915;26.804845162081147;
1667512768656381556;26.76238353677737;26.42866599596833;26.36725586116055;
1667512769153814771;4.441396469704557;6.0938229628362155;6.125732853524864;
1667512769689542092;0.0008064215045734553;0.0005375711861844206;0.00026860359704983716;
1667512770221634349;0.0008120499185130463;0.0005413757711785074;0.00027068890325879366;
1667512770756465338;0.0008108564671434203;0.0005406257743337914;0.00027046062825750107;
1667512771289547308;0.000807081391916482;0.000538026116684414;0.0002688779387518462;
1667512771829624788;0.0007998281850565434;0.0005332819802537533;0.00026665185267485137;
1667512772365676765;0.0008059205310120832;0.0005372773470438553;0.0002686537091002713;
1667512772905951496;0.0007996934508438432;0.000533123045909669;0.00026656744434016226;
1667512773445694478;0.0008002934409283404;0.0005335823384245981;0.0002667595385059984;
1667512773990618730;0.00691721372868661;0.006654364172198199;0.006391959355954992;
1667512774529598796;0.0008011527698187948;0.0005339077785543334;0.00026686731134890304;
1667512775678437401;16.87447017109327;16.62988963939025;16.92793551491819;
