QStandardPaths: XDG_RUNTIME_DIR not set, defaulting to '/tmp/runtime-root'
Time;Network load (With INC);
1668537825413764848;0.011223477321812884;
1668537825953363797;0.10672042685403842;
1668537826490068763;0.2478760273341279;
1668537827027930620;21.375301133456766;
1668537827561548071;21.288757098281728;
1668537828111877186;20.81223494153326;
1668537828677188314;18.99282387128647;
1668537829222111326;21.32293613169306;
1668537829761214509;18.461615197608662;
1668537830312829331;21.006452511683467;
1668537830882218307;23.469494581399708;
1668537831434109714;17.91259173774177;
1668537832016300807;23.08926995390445;
1668537832555209914;21.493808036308533;
1668537833071747089;19.432162632361113;
1668537833647741701;23.600230253933482;
1668537834174021012;18.982961505278936;
1668537834710701500;22.18867419405205;
