QStandardPaths: XDG_RUNTIME_DIR not set, defaulting to '/tmp/runtime-root'
Time;Network load (Without INC);
1668537823226706282;0.014408499807410017;
1668537823766892721;0.10665713763318456;
1668537824306059003;0.1068341126296516;
1668537824850770266;53.7784171991608;
1668537825393851890;67.04908158640293;
1668537825928419579;68.44596713312102;
1668537826488469490;65.26468367772227;
1668537827028250318;68.30049121923305;
1668537827561736464;69.04811286852328;
1668537828110129931;67.66961216927133;
1668537828673208793;65.83374277022928;
1668537829221915557;67.7300550008932;
1668537829774430358;65.77040518829462;
1668537830323254679;66.57175233881875;
1668537830868599725;71.49436776867978;
1668537831428223578;53.715067428423346;
1668537831990613471;80.55066336165936;
1668537832532619681;55.33078741171412;
1668537833068680871;70.849357129075;
1668537833627144681;77.46640172341257;
1668537834166229174;59.10110672711745;
1668537834708094715;70.13884581640545;
