FrameId;ReceivingTime;Fps
0;1668476943652167694;0
1;1668476944402587948;1
2;1668476944470819589;27
3;1668476944489605363;15
4;1668476944550559374;45
5;1668476944625774941;17
6;1668476944756024058;13
7;1668476944853414416;8
8;1668476944991896591;10
9;1668476945125923502;7
10;1668476945232106724;6
11;1668476945397597466;12
12;1668476945493106549;6
13;1668476945598169873;10
14;1668476945708604588;10
15;1668476946075267654;9
16;1668476946183555191;3
17;1668476946295417484;5
18;1668476946441079334;43
19;1668476946550506656;7
20;1668476946652641551;9
21;1668476946751881157;10
22;1668476946893785295;10
23;1668476947006731437;7
24;1668476947136549252;9
25;1668476947245157072;8
26;1668476947381993901;9
27;1668476947526496100;7
28;1668476947622483545;7
29;1668476947761930456;10
30;1668476947871535417;7
31;1668476947973732636;9
32;1668476948112301440;10
33;1668476948244214414;7
34;1668476948363035926;8
35;1668476948495179045;7
36;1668476948627807873;9
37;1668476948723632470;8
38;1668476948895826225;11
39;1668476949023931610;5
40;1668476949116840844;10
41;1668476949217886690;11
42;1668476949342425544;8
43;1668476949505470083;11
44;1668476949603170966;6
45;1668476949699084944;10
46;1668476949839000893;10
47;1668476949928889844;7
48;1668476950082095006;11
49;1668476950187167383;6
50;1668476950342593473;10
51;1668476950443926038;6
52;1668476950584479754;7
53;1668476950688331483;10
54;1668476950790582698;10
55;1668476950931479081;10
56;1668476951034637424;7
57;1668476951183528883;10
58;1668476951322601496;7
59;1668476951465810537;7
60;1668476951567209412;7
61;1668476951711805658;10
62;1668476951850333085;7
63;1668476951949183692;7
64;1668476952046742460;10
65;1668476952189318846;7
66;1668476952289385856;10
67;1668476952437425240;10
68;1668476952547988287;7
69;1668476952693204923;9
70;1668476953026751002;7
71;1668476953180097650;3
72;1668476953279599729;7
73;1668476953414817450;10
74;1668476953508244613;7
75;1668476953639822342;11
76;1668476953749134975;8
77;1668476953846029280;9
78;1668476953945052785;10
79;1668476954093318858;10
80;1668476954205498699;7
81;1668476954360890062;9
82;1668476954492979819;6
83;1668476954598634301;8
84;1668476954744560151;9
85;1668476954891767580;7
86;1668476954993413628;7
87;1668476955097167136;10
88;1668476955242288557;7
89;1668476955394212861;9
90;1668476955487748295;7
91;1668476955656845430;11
92;1668476955749775743;6
93;1668476955849330388;11
94;1668476955999428539;10
95;1668476956099262139;7
96;1668476956212124763;10
97;1668476956351862530;6
98;1668476956455391205;11
99;1668476956615725532;10
100;1668476956726568496;6
101;1668476956855381548;9
102;1668476957003049850;8
103;1668476957137109070;7
104;1668476957235084343;7
105;1668476957382696895;11
106;1668476957485581617;7
107;1668476957637965727;10
108;1668476957761846493;7
109;1668476957915050611;8
110;1668476958011926559;7
111;1668476958103896258;10
112;1668476958245091697;11
113;1668476958372109447;7
114;1668476958536645771;8
115;1668476958623366228;6
116;1668476958724225409;11
117;1668476958824833085;10
118;1668476958979695887;10
119;1668476959099814546;6
120;1668476959250087497;6
121;1668476959360734114;10
122;1668476959485798773;9
123;1668476959633595885;8
124;1668476959748142838;7
125;1668476959882804019;9
126;1668476959981321810;7
127;1668476960090213925;10
128;1668476960237576042;9
129;1668476960347349757;7
130;1668476960498548326;9
131;1668476960596107307;7
132;1668476960749708872;10
133;1668476960840872834;7
134;1668476960991766321;11
135;1668476961102526971;7
136;1668476961258063435;9
137;1668476961374097812;6
138;1668476961543021334;9
139;1668476961684396671;6
140;1668476961792756207;7
141;1668476961901921651;9
142;1668476962060517116;9
143;1668476962151700093;6
144;1668476962256471919;11
145;1668476962397186718;10
146;1668476962486604380;7
147;1668476962587214278;11
148;1668476962736442480;8
149;1668476962897744145;9
150;1668476962992558045;6
151;1668476963095660078;11
152;1668476963229930629;10
153;1668476963333419564;7
154;1668476963480546872;10
155;1668476963595049941;7
156;1668476963746498737;9
157;1668476963840710992;7
158;1668476963947303595;10
159;1668476964062347741;9
160;1668476964333728469;6
161;1668476964482476879;4
162;1668476964649642180;7
163;1668476964747153419;6
164;1668476964846783122;10
165;1668476964945754563;10
166;1668476965088579091;10
167;1668476965208344975;7
168;1668476965307531797;5
169;1668476965475384394;30
170;1668476965497389453;6
171;1668476965604107051;40
172;1668476965765928863;10
173;1668476965880593098;6
174;1668476966057862922;9
175;1668476966092471036;6
176;1668476966246933373;11
177;1668476966361170607;10
178;1668476966462519498;9
179;1668476966570688907;10
180;1668476966735038187;6
181;1668476966855823401;10
182;1668476966880572542;8
183;1668476966982733414;36
184;1668476967096475872;10
185;1668476967270908571;6
186;1668476967292576914;8
187;1668476967439234803;45
188;1668476967555674860;7
189;1668476967721678605;9
190;1668476967800894546;6
191;1668476967910088003;13
192;1668476968050777071;9
