QStandardPaths: XDG_RUNTIME_DIR not set, defaulting to '/tmp/runtime-root'
Time;Network load (Without INC);
1668476943481286643;0.008359858365513296;
1668476944147853742;32.97249594614928;
1668476944696285649;40.110777786806935;
1668476945237712298;67.13987299707968;
1668476946078774047;43.519754936788544;
1668476946657199268;63.455753763182784;
1668476947222885653;61.15787644267452;
1668476947776716496;57.38167756079861;
1668476948333571207;53.297808873443266;
1668476948875015825;68.60781215516907;
1668476949436657988;52.924950068788576;
1668476950010316769;64.90419086228668;
1668476950601763218;62.88610920970211;
1668476951197018527;62.78784397394075;
1668476951861485219;56.41117071543261;
1668476952449557844;63.87958545402551;
1668476953036161565;38.47376813095132;
1668476953724115143;58.46909351089362;
1668476954269567915;63.97920072565344;
1668476954844135635;65.57083104338042;
1668476955412193839;53.44296833930845;
1668476955999698046;64.99192223876703;
1668476956528381670;57.49850634279646;
1668476957132641381;63.27295610032735;
1668476957734613184;50.92207551710425;
1668476958353562335;71.30666468630903;
1668476958906213921;58.45322832255615;
1668476959478094448;66.65814410855158;
1668476960056070023;52.60043094742589;
1668476960604398937;69.21666356929454;
1668476961183424056;52.50321369687359;
1668476961716878668;56.512777238419645;
1668476962336042166;61.08863319915366;
1668476962917482051;65.21609781534148;
1668476963502318985;64.92017107146614;
1668476964052288886;68.97427019148945;
1668476964672112619;37.056776384082895;
1668476965212231657;69.86963773093615;
1668476965873829530;69.01204206608078;
1668476966465723538;64.30084605101317;
1668476967076325784;70.54283230967586;
1668476967638763654;58.13414570188596;
1668476968235282727;75.24552492570781;
1668476968846506149;61.56607218473526;
1668476969476360759;59.54791938352457;
1668476970120028838;69.91819770083588;
1668476970706176676;64.15311178125506;
1668476971265153301;67.1063684698384;
1668476971839576369;64.94976822070137;
1668476972412629761;64.71616864249742;
1668476972945792688;54.803582076007785;
1668476973528795181;70.69640118424869;
1668476974097780648;55.15693473037254;
1668476974670986345;65.78294642254066;
1668476975220465399;62.633909898889165;
1668476975796295556;50.194111216600234;
1668476976401553582;55.82656874089299;
1668476977048470367;59.21201899339984;
1668476977586387562;53.70354931597959;
1668476978185951840;59.871541057065826;
1668476978795802700;59.37974010812162;
1668476979426263410;58.29946850938189;
1668476980000060399;64.26224785701501;
1668476980572651360;64.88907342790155;
1668476981164188474;62.67696594034528;
1668476981709835980;67.5645554130317;
1668476982292446348;60.07100439013371;
1668476982865218046;53.75732586869461;
1668476983472599529;59.76079321827209;
1668476984012696077;66.99930701896218;
1668476984611589791;56.46153044580045;
1668476985180485093;54.69343484400642;
1668476985750654154;59.56289747562625;
1668476986295873545;56.84054389887648;
1668476986864416382;63.35124032777883;
1668476987448635151;36.89806295039732;
1668476988041244812;60.4497444679638;
1668476988625050035;61.12794906386269;
1668476989197570748;62.391758050042945;
1668476989791039455;60.01268214255061;
1668476990331543539;52.97566704470545;
1668476990864489846;66.97077145056812;
1668476991440970271;62.050026401089134;
1668476992006319231;63.361101675120594;
1668476992548329825;52.77649715917201;
1668476993142753596;60.31787980774078;
1668476993740792286;59.73662594710731;
1668476994328932315;56.859661190483926;
1668476994888779185;55.12937320930652;
1668476995462113775;58.111691411127296;
1668476996062259521;63.18759347890541;
1668476996624572756;63.46413522464174;
1668476997284718434;54.15109351472673;
1668476997916300629;56.59410823563073;
1668476998550951858;67.98171914241173;
1668476999202591047;66.83518443077568;
1668476999801764197;62.59318992208922;
1668477000398477259;63.29067628055872;
1668477000970425087;62.406022537770625;
1668477001579601196;69.52599435014916;
1668477002139676766;64.66064372460913;
1668477002745171114;60.00661866093989;
1668477003281385583;67.6662583428656;
1668477003863362812;59.2220613948613;
1668477004478222684;52.789982303256785;
1668477005195840495;49.24613499082647;
1668477005772164334;53.98876922381189;
1668477006355812951;51.05531028740637;
1668477006945365482;63.294152809751566;
1668477007591452309;59.39964862057672;
1668477008122388407;52.81693798972052;
1668477008729344416;59.190732790524756;
1668477009296548415;50.63795046219789;
1668477009832809994;66.56945831626216;
1668477010412471886;61.3443048560487;
1668477010953154492;52.90026591713036;
1668477011524261769;61.53412667893768;
1668477012085292268;50.5422717016443;
1668477012721204594;55.657259352475386;
1668477013284316266;62.542782721646994;
1668477013872461375;59.703130563611055;
1668477014415705239;64.77664865133028;
1668477014995619514;48.042038951498064;
