FrameId;SendingTime;Fps
0;1668476943588125662;0
1;1668476943959876684;3
2;1668476944135982140;6
3;1668476944370864995;104
4;1668476944478441476;4
5;1668476944581437410;10
6;1668476944706847931;8
7;1668476944829531232;10
8;1668476944929612618;8
9;1668476945092376984;7
10;1668476945194908471;8
11;1668476945369388641;9
12;1668476945475551558;6
13;1668476945579680166;9
14;1668476945686226507;10
15;1668476946057876184;9
16;1668476946158924048;3
17;1668476946277560362;9
18;1668476946376491718;9
19;1668476946476099076;10
20;1668476946632552108;10
21;1668476946733441571;6
22;1668476946839596555;10
23;1668476946988310751;9
24;1668476947096136805;7
25;1668476947214376871;10
26;1668476947358825534;8
27;1668476947466357983;7
28;1668476947605740286;9
29;1668476947707995729;7
30;1668476947851272985;10
31;1668476947955324646;7
32;1668476948095295367;9
33;1668476948199594179;7
34;1668476948333296856;8
35;1668476948479732580;9
36;1668476948604767939;7
37;1668476948709539884;8
38;1668476948859245794;9
39;1668476948962220660;7
40;1668476949098841132;10
41;1668476949200656459;7
42;1668476949328779596;10
43;1668476949437037178;8
44;1668476949583984564;7
45;1668476949683807761;10
46;1668476949786722321;10
47;1668476949915851496;10
48;1668476950024138601;8
49;1668476950171133207;7
50;1668476950280331328;9
51;1668476950430210141;7
52;1668476950531565171;10
53;1668476950672098813;7
54;1668476950772165400;10
55;1668476950876023004;10
56;1668476951017626718;10
57;1668476951120215411;7
58;1668476951299921999;9
59;1668476951405495541;6
60;1668476951548754068;9
61;1668476951692026055;7
62;1668476951801953015;7
63;1668476951922366749;9
64;1668476952027114427;8
65;1668476952131889287;10
66;1668476952267530808;10
67;1668476952375028056;7
68;1668476952529388371;9
69;1668476952675910784;7
70;1668476953006779013;7
71;1668476953159970124;3
72;1668476953259435843;7
73;1668476953362730472;10
74;1668476953487945050;10
75;1668476953591513575;8
76;1668476953727647311;10
77;1668476953828835532;7
78;1668476953931271004;10
79;1668476954036509670;10
80;1668476954184857034;10
81;1668476954285223066;7
82;1668476954447382018;6
83;1668476954579202217;9
84;1668476954683716706;8
85;1668476954834929988;7
86;1668476954974123231;9
87;1668476955081704361;7
88;1668476955219846417;10
89;1668476955370274935;7
90;1668476955472979852;7
91;1668476955580879840;10
92;1668476955684317964;9
93;1668476955832462804;10
94;1668476955973393211;7
95;1668476956073758043;7
96;1668476956188560875;9
97;1668476956294153317;9
98;1668476956437391926;9
99;1668476956540286111;7
100;1668476956643371401;10
101;1668476956835680270;6
102;1668476956941741754;8
103;1668476957113452424;10
104;1668476957219746414;6
105;1668476957326560726;10
106;1668476957468801421;9
107;1668476957571003924;7
108;1668476957733813636;9
109;1668476957848983948;6
110;1668476957949612295;10
111;1668476958084877386;10
112;1668476958186456840;7
113;1668476958345022076;10
114;1668476958450235731;6
115;1668476958559474807;9
116;1668476958705217162;9
117;1668476958808304014;7
118;1668476958912974925;10
119;1668476959073924000;6
120;1668476959180309631;10
121;1668476959283805620;10
122;1668476959459004687;6
123;1668476959564582714;10
124;1668476959668069975;9
125;1668476959823750196;6
126;1668476959966240326;10
