QStandardPaths: XDG_RUNTIME_DIR not set, defaulting to '/tmp/runtime-root'
Time;Network load (With INC);
1668476946078852014;8.222358656701797;
1668476946657561397;19.717209212198235;
1668476947241096516;19.548776212210814;
1668476947762019532;17.591455167599705;
1668476948347329320;18.588480850466098;
1668476948883866798;17.168297270559318;
1668476949436606469;22.135336666466003;
1668476950012098150;20.219166959139383;
1668476950601698917;19.5756052622997;
1668476951198583931;19.404309339904888;
1668476951861557624;17.52384146852075;
1668476952449611467;19.971634574143916;
1668476953036336923;12.088856873292594;
1668476953662208054;18.838694620114445;
1668476954210116754;20.117980308641624;
1668476954752000615;18.87794921083494;
1668476955305267482;17.18634382716108;
1668476955926022999;19.09536811226079;
1668476956469134527;20.624844325728464;
1668476957027044997;18.39585330741002;
1668476957640906487;19.373578046044692;
1668476958171761835;18.16116238418298;
1668476958736124678;20.095055614184957;
1668476959263771735;19.57926824002172;
1668476959817687565;17.399499002638382;
1668476960361920525;20.67298177636855;
1668476960923647917;18.340893428018422;
1668476961530646183;19.61546777511667;
1668476962077255568;17.48376333221195;
1668476962652630595;20.35258118221899;
1668476963244116924;19.840480271625438;
1668476963857806949;19.208865397201215;
1668476964492725089;18.643137824635335;
1668476965110436093;19.29876646396156;
1668476965681827135;20.803156322476095;
1668476966277753688;19.987092321384196;
1668476966879405212;22.554490394775144;
1668476967472107872;21.265492438388502;
1668476968064356480;20.037422008465423;
1668476968669458064;15.686961851746032;
1668476969462349057;19.831522455820004;
1668476970024631979;21.297088347136153;
1668476970639661772;20.252414298385656;
1668476971265543577;22.509516332606637;
1668476971780641067;18.336454587111383;
1668476972404611529;18.673223766077825;
1668476972936949018;18.18314915547581;
1668476973516581027;20.14338003030116;
1668476974084359266;20.302157402858658;
1668476974620395520;17.050991706434928;
1668476975268503184;18.80186729984408;
1668476975777336394;20.45733639092702;
1668476976313730705;16.945906010629294;
1668476976936408979;17.78742559832446;
1668476977503951414;20.313170991020694;
1668476978090785688;15.490893526092389;
1668476978628698965;21.06161845374318;
1668476979232600180;15.054083471013843;
1668476979810488492;16.32903596665594;
1668476980343550072;20.912603850234472;
1668476980917730501;20.03382426373642;
1668476981504575483;18.74044806662237;
1668476982033844456;18.761185960361708;
1668476982602510764;19.176555159033196;
